A,J
A,K
A,N
A,OO
B,G
B,W
B,Z
C,D
D,FF
E,Q
E,FF
F,X
F,AA
F,BB
G,P
G,Z
G,PP
G,RR
H,Y
I,C
J,A
J,K
J,L
J,N
J,GG
K,A
K,J
K,N
K,O
K,GG
L,O
L,GG
N,A
N,J
N,K
N,GG
O,L
O,CC
O,GG
O,JJ
P,Z
P,PP
P,RR
Q,E
Q,V
Q,AA
S,DD
S,JJ
U,EE
U,KK
U,NN
U,SS
W,B
X,F
X,AA
X,BB
Y,H
Y,XX
Z,G
Z,P
AA,X
AA,BB
BB,AA
CC,O
CC,S
CC,DD
CC,GG
DD,S
DD,CC
DD,GG
DD,JJ
EE,U
EE,KK
FF,D
FF,E
GG,J
GG,K
GG,O
GG,CC
GG,DD
HH,C
HH,D
II,XX
JJ,O
JJ,S
JJ,DD
JJ,LL
JJ,OO
KK,U
KK,EE
KK,II
KK,UU
LL,JJ
LL,OO
MM,QQ
NN,SS
NN,TT
NN,UU
NN,VV
OO,LL
PP,G
PP,RR
QQ,MM
RR,G
RR,P
RR,Z
RR,PP
SS,MM
SS,NN
SS,TT
SS,UU
TT,NN
TT,UU
TT,VV
TT,WW
UU,NN
UU,TT
VV,TT
VV,WW
WW,NN
WW,TT
WW,VV
